"Years" "Months" "Days" "TX"
"819" 1878 3 29 13.3
"820" 1878 3 30 14.3
"821" 1878 3 31 9.3
"822" 1878 4 1 10.5
"823" 1878 4 2 9.5
"824" 1878 4 3 10.5
"825" 1878 4 4 12
"826" 1878 4 5 11.8
"827" 1878 4 6 10.3
"828" 1878 4 7 9.3
"829" 1878 4 8 8.3
"830" 1878 4 9 8.5
"831" 1878 4 10 15.8
"832" 1878 4 11 14.3
"833" 1878 4 12 15.5
"834" 1878 4 13 18.8
"835" 1878 4 14 19.3
"836" 1878 4 15 19.5
"837" 1878 4 16 20
"838" 1878 4 17 17
"839" 1878 4 18 15.8
"840" 1878 4 19 16.8
"841" 1878 4 20 16.8
"842" 1878 4 21 16.5
"843" 1878 4 22 16.5
"844" 1878 4 23 16.3
"845" 1878 4 24 17.8
"846" 1878 4 25 13.5
"847" 1878 4 26 12
"848" 1878 4 27 15.3
"849" 1878 4 28 16.8
"850" 1878 4 29 19.3
"851" 1878 4 30 21
"852" 1878 5 1 20.5
"853" 1878 5 2 20.8
"854" 1878 5 3 21
"855" 1878 5 4 21.3
"856" 1878 5 5 16.8
"857" 1878 5 6 18
"858" 1878 5 7 19
"859" 1878 5 8 12.3
"860" 1878 5 9 11.3
"861" 1878 5 10 14.3
"862" 1878 5 11 16.3
"863" 1878 5 12 17.8
"864" 1878 5 13 21.5
"865" 1878 5 14 22.3
"866" 1878 5 15 23.3
"867" 1878 5 16 21.8
"868" 1878 5 17 24.3
"869" 1878 5 18 28.3
"870" 1878 5 19 24.3
"871" 1878 5 20 19
"872" 1878 5 21 18
"873" 1878 5 22 13.8
"874" 1878 5 23 15.8
"875" 1878 5 24 20
"876" 1878 5 25 18.5
"877" 1878 5 26 18
"878" 1878 5 27 20.8
"879" 1878 5 28 23.3
"880" 1878 5 29 19
"881" 1878 5 30 19.3
"882" 1878 5 31 17
"883" 1878 6 1 17
"884" 1878 6 2 16
"885" 1878 6 3 19.3
"886" 1878 6 4 21.3
"887" 1878 6 5 18.3
"888" 1878 6 6 15.8
"889" 1878 6 7 17
"890" 1878 6 8 22.5
"891" 1878 6 9 25.5
"892" 1878 6 10 21.8
"893" 1878 6 11 22.5
"894" 1878 6 12 26.8
"895" 1878 6 13 20.8
"896" 1878 6 14 20.5
"897" 1878 6 15 21.8
"898" 1878 6 16 16.8
"899" 1878 6 17 19.3
"900" 1878 6 18 22
"901" 1878 6 19 23
"902" 1878 6 20 23
"903" 1878 6 21 23.3
"904" 1878 6 22 25.8
"905" 1878 6 23 25.8
"906" 1878 6 24 25.8
"907" 1878 6 25 27
"908" 1878 6 26 26.8
"909" 1878 6 27 26.3
"910" 1878 6 28 24.8
"911" 1878 6 29 26.5
"912" 1878 6 30 26.6
"913" 1878 7 1 23
"914" 1878 7 2 20.6
"915" 1878 7 3 19.8
"916" 1878 7 4 18.8
"917" 1878 7 5 19
"918" 1878 7 6 19.5
"919" 1878 7 7 20
"920" 1878 7 8 19.5
"921" 1878 7 9 19
"922" 1878 7 10 19
"923" 1878 7 11 18.8
"924" 1878 7 12 18.5
"925" 1878 7 13 19.8
"926" 1878 7 14 18.5
"927" 1878 7 15 19.4
"928" 1878 7 16 18.1
"929" 1878 7 17 17.5
"930" 1878 7 18 20.9
"931" 1878 7 19 22.3
"932" 1878 7 20 21.5
"933" 1878 7 21 25.1
"934" 1878 7 22 28
"935" 1878 7 23 27.3
"936" 1878 7 24 22.5
"937" 1878 7 25 22
"938" 1878 7 26 23.6
"939" 1878 7 27 22.4
"940" 1878 7 28 22
"941" 1878 7 29 21.5
"942" 1878 7 30 19
"943" 1878 7 31 22.5
"944" 1878 8 1 19.8
"945" 1878 8 2 20.5
"946" 1878 8 3 25.8
"947" 1878 8 4 26.8
"948" 1878 8 5 25.5
"949" 1878 8 6 27.5
"950" 1878 8 7 27.8
"951" 1878 8 8 25.8
"952" 1878 8 9 24.5
"953" 1878 8 10 25.8
"954" 1878 8 11 24.8
"955" 1878 8 12 24.3
"956" 1878 8 13 24.8
"957" 1878 8 14 23.3
